English,French,Correct,Wrong,Attempts
absence,"éclipse, absence, manque",0,0,0
absence of mind,inattention,0,0,0
absence of postage,en port dû,0,0,0
absent,absent,0,0,0
absent oneself,s'absenter,0,0,0
absent onself,partir,0,0,0
absentmindedly,absente,0,0,0
absinth,absinthe,0,0,0
absinthe,"vermouth, absinthe",0,0,0
absolute,"ineluctable, absolu, complet",0,0,0
absolute loader,chargeur image,0,0,0
absolute value,valeur absolue,0,0,0
absolutely,"plein, vraiment, absolument",0,0,0
absolution,absolution,0,0,0
absolutism,absolutisme,0,0,0
absolve,"absolvez, absolvent, absolvons, absolver, absoudre",0,0,0
absolved,"absolvai, absolva, absolvâmes, absoutes, absolvés",0,0,0
absolves,"absolve, absout",0,0,0
absolving,"absolvant, absolutoire",0,0,0
absorb,"phagocyter, neutraliser, absorbez, absorbent",0,0,0
absorbed,"absorbées, absorbés, absorbâmes, absorbèrent",0,0,0
absorbent,absorbant,0,0,0
absorbing capacity,réceptivité,0,0,0
absorbs,absorbe,0,0,0
absorbtion,absorbtion,0,0,0
absorption,absorption,0,0,0
abstain,"abstenir, abstiens, s'abstenir, abstiennent",0,0,0
abstained,"abstînmes, abstenues, abstinrent, abstenu",0,0,0
abstaining,abstenant,0,0,0
abstains,abstient,0,0,0
abstemious,sobre,0,0,0
abstemiously,tempérante,0,0,0
abstemiousness,continence,0,0,0
abstention,abstention,0,0,0
abstinence,"abstention, abstinence",0,0,0
abstinently,tempérante,0,0,0
abstract,"abstraient, déduire, abstrayez, résumer, abstrait",0,0,0
abstracted,"abstraites, abstraits, abstraite",0,0,0
abstracting,abstrayant,0,0,0
abstraction,"inattention, abstraction",0,0,0
absurd,absurde,0,0,0
absurdism,fadaises,0,0,0
absurdity,absurdité,0,0,0
abundance,abondance,0,0,0
abundant,abondant,0,0,0
abundantly,"abondamment, abondante",0,0,0
abuse,"défaut, abuser, insulter, tourmenter, abusons",0,0,0
abused,"abusées, abusée, abusâmes, abusai, abusa, abusés",0,0,0
abuses,abuse,0,0,0
abusing,abusant,0,0,0
abusive,injurieux,0,0,0
abusively,injurieux,0,0,0
abut,adosser,0,0,0
abutment,culée,0,0,0
abutter,riverain,0,0,0
abysm,précipice,0,0,0
abysmal,terrible,0,0,0
abyss,"abîme, précipice",0,0,0
abyssal,viscérale,0,0,0
Abyssinia,"Abyssinie, Ethiopie",0,0,0
Abyssinian,"Ethiopien, Abyssin",0,0,0
AC,courant alternatif,0,0,0
acacia,acacia,0,0,0
academic,"étudiant, académique",0,0,0
academician,académicien,0,0,0
academy,académie,0,0,0
academy of music,conservatoire,0,0,0
acanthus,acanthe,0,0,0
acanthuses,épineux,0,0,0
accede,consentir,0,0,0
accede to,affilier,0,0,0
accelerate,"accélérez, hâter, accélérer, accélérer, presser",0,0,0
accelerated,"accélérèrent, accélérée, accéléra, accélérai",0,0,0
accelerates,accélére,0,0,0
accelerating,accélérant,0,0,0
acceleration,"avancement, accéleration, précipitation",0,0,0
accelerative,"accélérateur, accélérateurice",0,0,0
accent,"emphase, souligner, accentuer, accent",0,0,0
accentuate,"accentuer, souligner",0,0,0
accentuation,balisage,0,0,0
accept,"agréer, agréent, acceptent, accepter, agréez",0,0,0
accept a bid,adjuger,0,0,0
acceptable,"acceptable, potable, licite",0,0,0
acceptance,"supposition, acceptation, accueil",0,0,0
accepted,"agréé, agréai, agréa, agréée, agréèrent, agréées",0,0,0
accepting,"acceptant, agréant",0,0,0
acceptor,accepteur,0,0,0
accepts,"accepte, agrée",0,0,0
access,"attaque, accéder, intelligence, entrée, accés",0,0,0
accessed,"accédé, accédées, accédée, accédâmes, accédai",0,0,0
accesses,accéde,0,0,0
accessibility,"accessibilité, accésibilité, abord",0,0,0
accessing,accédant,0,0,0
accession,"présentation, inscription",0,0,0
accessory,"secondaire, accessoire, appendice, auxiliaire",0,0,0
accessory equipment,fournitures,0,0,0
accidence,hasard,0,0,0
accident,accident,0,0,0
accidental,"malheureuxse, accidentel",0,0,0
accidentally,malheuresement,0,0,0
accidentprone,adversité,0,0,0
acclaim,"applaudir, acclamation, applaudissement, acclament",0,0,0
acclaimed,"acclamé, acclamâmes, acclamèrent, acclama",0,0,0
acclaiming,acclamant,0,0,0
acclaims,acclame,0,0,0
acclamation,"acclamation, applaudissement",0,0,0
acclimate,"acclimatez, acclimater, acclimatons, acclimatent",0,0,0
acclimated,"acclimata, acclimatai, acclimatâmes, acclimatèrent",0,0,0
acclimates,acclimate,0,0,0
acclimating,acclimatant,0,0,0
acclimatization,acclimation,0,0,0
acclivity,"pente, côte",0,0,0
accolade,éloge,0,0,0
accommodate,"adapter, accommodent, accommodez, accommodons",0,0,0
accommodated,"accommodée, accommoda, accommodées, accommodai",0,0,0
accommodates,accommode,0,0,0
accommodating,accommodant,0,0,0
accommodation,"disposition, construction, arrangement, compromis",0,0,0
accommodativeness,aise,0,0,0
accomodate,"terminer, ajuster, cesser, finir",0,0,0
accomodate oneself,"s'ajuster, s'adapter",0,0,0
accomodation,gîte,0,0,0
accompanied,"accompagnâmes, accompagnèrent, accompagnée",0,0,0
accompanies,accompagne,0,0,0
accompaniment,"escorte, compagnie, accompagnement",0,0,0
accompanist,"cavalier, compagnon",0,0,0
accompany,"accompagnez, accompagnent, accompagner",0,0,0
accompany back,reconduire,0,0,0
accompanying,accompagnant,0,0,0
accomplice,"affidée, complice, suppôt",0,0,0
accomplish,"confectionner, accomplissons, accomplissez",0,0,0
accomplished,"accomplîmes, accomplie, accompli, accomplies",0,0,0
accomplishes,accomplit,0,0,0
accomplishing,accomplissant,0,0,0
accomplishment,acomplissement,0,0,0
accord,"unisson, concéder, concorder",0,0,0
accordance,"conformité, unisson",0,0,0
accordant,concordant,0,0,0
according,"corformément, homologue",0,0,0
according to,"d'après, corformément",0,0,0
accordion,accordéon,0,0,0
accordionist,accordéoniste,0,0,0
accost,"accostons, accostage, accostez, accoster",0,0,0
accosted,"accostèrent, accostés, accostées, accostai",0,0,0
accosting,accostant,0,0,0
accosts,accoste,0,0,0
accoucheur,accoucheur,0,0,0
account,"supputation, demande, compte",0,0,0
accountable,responsable,0,0,0
accountancy,comptabilité,0,0,0
accountant,comptable,0,0,0
accounted,fondée,0,0,0
accounter,expert comptable,0,0,0
accounting,"comptabilité, liquidation",0,0,0
accredit,"accréditent, accréditer, accréditez, accréditons",0,0,0
accredited,"accréditèrent, accréditai, accréditées, accrédité",0,0,0
accrediting,accréditant,0,0,0
accredits,accrédite,0,0,0
accretion,"croissance, accroisement",0,0,0
accrue,sourdre,0,0,0
accumulate,"accumulons, amoncelent, entassent, accumulez",0,0,0
accumulated,"entassai, accumulâmes, accumulées, entassée",0,0,0
accumulates,"entasse, accumule, amoncelle",0,0,0
accumulating,"amoncelant, entassant, accumulant",0,0,0
accumulator,"accumulateur, accu, accumulator",0,0,0
accuracy,exactitude,0,0,0
accurate,"correct, précis, ponctuel",0,0,0
accurately,exacte,0,0,0
accursed,sapristi,0,0,0
accusation,"plainte, accusation, inculpation, dénonciation",0,0,0
accusative,"accusatif, régime direct",0,0,0
accuse,"accusent, accusons, accusez, accuser",0,0,0
accused,"accusèrent, accusées, accusai, accusée, accusa",0,0,0
accuser,accusateur,0,0,0
accuses,accuse,0,0,0
accusing,accusant,0,0,0
accustom,"habituons, accoutumer, habituer, habituez",0,0,0
accustomed,"habitué, habituai, habituâmes, habituée, habitua",0,0,0
accustoming,"accoutumance, habituant",0,0,0
accustoms,habitue,0,0,0
acerbate,aigrir,0,0,0
acerbated,acrimonieuxse,0,0,0
acerbates,acrimonieux,0,0,0
acerbity,verdeur,0,0,0
acetate,"acétate, acetate",0,0,0
acetone,acétone,0,0,0
acetylene,acétylène,0,0,0
ache,diuleur,0,0,0
Acheron,Achéron,0,0,0
achieve,"accomplir, parvenir, achevent, achever, achevez",0,0,0
achieved,"révolue, achevâmes, achevai, achevées, achevés",0,0,0
achievement,"exécution, atteinte, achèvement",0,0,0
achievement oriented,performatif,0,0,0
achieves,acheve,0,0,0
achieving,achevant,0,0,0
Achilles,Achille,0,0,0
achiness,diuleur,0,0,0
aching,endolori,0,0,0
achy,endolori,0,0,0
acid,"aigre, acide",0,0,0
acidities,acidité,0,0,0
acidity of wine,acide tartrique,0,0,0
acidulous,acidulé,0,0,0
acknowledge,"croire, reconnaître",0,0,0
acknowledgement,reconnaissance,0,0,0
acme,"culmination, sommet, apogée, cime",0,0,0
acolyte,acolyte,0,0,0
aconite,aconit,0,0,0
acorn,gland,0,0,0
acoustic,"sonorité, acoustique",0,0,0
acoustic coupler,coupleur acoustique,0,0,0
acoustics,sonorité,0,0,0
acquaintance,connaissance,0,0,0
acquiescence,acquiescement,0,0,0
acquiescently,dévouée,0,0,0
acquire,"acquérons, acquiérent, acquérir, procurer",0,0,0
acquired,"acquirent, acquîmes, acquise",0,0,0
acquires,acquiert,0,0,0
acquiring,acquérant,0,0,0
acquisition,"achat, acquisition",0,0,0
acquit,"acquittez, acquittent, acquittons",0,0,0
acquits,acquitte,0,0,0
acquittal,acquittement,0,0,0
acquitted,"acquittés, acquittées, acquittèrent, acquitta",0,0,0
acquitting,acquittant,0,0,0
acre,acre,0,0,0
acrid,"biliaire, corrosif",0,0,0
acridly,corrosif,0,0,0
acridness,verdeur,0,0,0
acrimonies,acérer,0,0,0
acrimonious,farouche,0,0,0
acrimoniously,saumâtre,0,0,0
acrobat,acrobate,0,0,0
acrobatics,acrobaties,0,0,0
acronym,raccourcie,0,0,0
across,"en écharpe, au delà de, à travers, à travers",0,0,0
across from,"vis à vis, contre",0,0,0
across the board,"forfaitaire, universel",0,0,0
across the counter,régulier,0,0,0
acrylic,acrylique,0,0,0
act,"agissez, agissons, agir, construire, agissent",0,0,0
act in place of,commercer,0,0,0
act of protest,protêt,0,0,0
act of volition,volition,0,0,0
actable,faisable,0,0,0
acted,"agies, agie, agi, agîmes, agirent",0,0,0
action,"action, activité",0,0,0
action flexibility,adaptabilité,0,0,0
activate,"activent, activons, activez, précipiter",0,0,0
activated,"activai, activé, activés, activa, activâmes",0,0,0
activating,activant,0,0,0
activation,"stimulation, décollage, activation",0,0,0
active,"allume, voix active, actif, agissant",0,0,0
active light,voyant,0,0,0
actived,voix active,0,0,0
actively,active,0,0,0
activist,activiste,0,0,0
activities,activités,0,0,0
activity,"acivité, activité",0,0,0
actor,"acteur, comédien",0,0,0
actress,actrice,0,0,0
acts,agit,0,0,0
actual,"effectif, réel",0,0,0
actualize,matérialiser,0,0,0
actually,momentané,0,0,0
actuary,actuaire,0,0,0
actuate,actionner,0,0,0
actuator,déclencheur,0,0,0
acumen,finesse,0,0,0
acupuncture,"acuponcture, acupuncture",0,0,0
acute,poivré,0,0,0
acutely,aiguë,0,0,0
acuteness,raffinement,0,0,0
ad,annonce,0,0,0
adagio,lent,0,0,0
Adam,Adam,0,0,0
adapt,"adaptez, aligner, adapter, adaptent, adaptons",0,0,0
adapt oneself,"s'adapter, s'ajuster, épouser",0,0,0
adaptation,adaptation,0,0,0
adapted,"adaptèrent, adapté, adaptés, adaptée, adaptées",0,0,0
adapter,adapteur,0,0,0
adapting,adaptant,0,0,0
adaptor,adapteur,0,0,0
adapts,adapte,0,0,0
add,"rajouter, ajouter, ajoutent, ajoutons, additionner",0,0,0
add on,rajouter,0,0,0
add up,additionner,0,0,0
added,"additionné, ajoutâmes, ajoutée, additionnés",0,0,0
added value tax,taxe sur la valeur ajoutée,0,0,0
addendum,complément,0,0,0
adder,additionneur,0,0,0
addict,intoxiquée,0,0,0
addicts,intoxiquée,0,0,0
adding,"ajoutant, additionnant",0,0,0
adding machine,additionneuse,0,0,0
Addis Ababa,Addis−Abeba,0,0,0
addition,"addition, ajout, rajout, complément",0,0,0
additional,"rajouter, supplémentaire",0,0,0
additional charge,surtaxe,0,0,0
additional insurance,assurance supplémentaire,0,0,0
additional premium,surprime,0,0,0
additive,supplémentaire,0,0,0
additively,additionelle,0,0,0
address,"laïus, adressez, accostage, destination, adresser",0,0,0
address book,bottin,0,0,0
address list,annuaire,0,0,0
address table,bottin,0,0,0
addressed,"adressèrent, adressés, adressé, adressée, adressa",0,0,0
addressee,destinataire,0,0,0
addressing,"adressant, adressage",0,0,0
adds,"ajoute, additionne",0,0,0
adduce,alléguer,0,0,0
adduction,adduction,0,0,0
Aden,Aden,0,0,0
adept,"partisan, adhérent",0,0,0
adeptly,experte,0,0,0
adequacy,convenance,0,0,0
adequate,"idoine, passable, adéquat, adéquate",0,0,0
adhere,"adhérons, adhérez, adhère",0,0,0
adhered,"adhérées, adhérée, adhérèrent, adhérés, adhéré",0,0,0
adherence,adhérence,0,0,0
adherently,adhésive,0,0,0
adheres,adhére,0,0,0
adhering,adhérant,0,0,0
adhesion,"adhérence, gluant, adhésion",0,0,0
adhesive,gluant,0,0,0
adhesive plaster,taffetas anglais,0,0,0
adhesive strip,ruban adhésif,0,0,0
adieu,adieu,0,0,0
adiposeness,obésité,0,0,0
adjacencies,proximité,0,0,0
adjacency,confiner,0,0,0
adjacent,"contigu, adjacent",0,0,0
adjectival,adjectival,0,0,0
adjective,adjectif,0,0,0
adjoining building,appartenances,0,0,0
adjourn to,se rendre,0,0,0
adjournment,prorogation,0,0,0
adjudant,adjudant,0,0,0
adjudicate,"adjugez, arbitrer, adjugeons, adjugent, raisonner",0,0,0
adjudicated,"adjugées, adjugée, adjugeâmes, adjugeai, adjugés",0,0,0
adjudicates,adjuge,0,0,0
adjudicating,adjugeant,0,0,0
adjudication,détermination,0,0,0
adjust,"braquer, rectifier, adapter, ajustons, correction",0,0,0
adjusted,"ajustés, ajustèrent, ajustées, ajustée, ajustâmes",0,0,0
adjusting,ajustant,0,0,0
adjustment,"accommodation, règlage",0,0,0
adjusts,ajuste,0,0,0
adjutant,adjutant,0,0,0
administer,administrer,0,0,0
administrate,"administrez, administrent, administrons",0,0,0
administrated,"administrées, administrèrent, administrée",0,0,0
administrates,administre,0,0,0
administrating,administrant,0,0,0
administration,administration,0,0,0
administration of oath,assermentation,0,0,0
administrative,administratif,0,0,0
administrator,gestionnaire,0,0,0
admirable,"étonnamment, admirable",0,0,0
admiral,amiral,0,0,0
admiration,admiration,0,0,0
admire,"admirent, admirez, admirons, admirer, vénérer",0,0,0
admired,"admirés, admirée, admiré, admirâmes, admirai",0,0,0
admirer,"admirateur, soupirant, admiratrice",0,0,0
admires,admire,0,0,0
admiring,"admiratif, admirant",0,0,0
admissible,licite,0,0,0
admissibly,licite,0,0,0
admission,admission,0,0,0
admission into warehouse,magasinage,0,0,0
admit,"avouer, confesser, admettez, admettons, admettent",0,0,0
admits,admet,0,0,0
admitted,"admise, admit, admis, admirent, admies, admîmes",0,0,0
admitting,admettant,0,0,0
admonish,"admonestez, exhorter, admonestent, sommer",0,0,0
admonished,"admonestâmes, admonestés, admonesta, admonesté",0,0,0
admonishes,admoneste,0,0,0
admonishing,admonestant,0,0,0
admonishment,admonestation,0,0,0
admonition,admonition,0,0,0
ado,simagrées,0,0,0
adolescence,adolescent,0,0,0
Adonis,Adonis,0,0,0
adopt,"adoptent, adopter, adoptez, adoptons",0,0,0
adopted,"adopté, adoptées, adoptif, adoptée, adoptés",0,0,0
adopting,adoptant,0,0,0
adoption,"appropriation, adoption",0,0,0
adopts,adopte,0,0,0
adorable,adorable,0,0,0
adoration,"vénération, adoration",0,0,0
adore,"adorent, adorons, vénérer, adorer, adorez",0,0,0
adored,"adoré, adora, adorées, adorâmes, adorai, adorèrent",0,0,0
adored one,adorée,0,0,0
adorer,"adoratrice, adorateurice",0,0,0
adores,adore,0,0,0
adoring,adorant,0,0,0
adorn,"ornons, enjolivons, ornent, ornez, orner, décorer",0,0,0
adorned,"ornai, ornâmes, enjoliva, ornées, ornés, enjolivai",0,0,0
adorning,"ornant, enjolivant",0,0,0
adorns,"orne, enjolive",0,0,0
adrenaline,adrénaline,0,0,0
Adrianople,Andrinople,0,0,0
adroitness,savoir faire,0,0,0
adulation,flatterie,0,0,0
adulator,flatteur,0,0,0
adulatory,câlin,0,0,0
adult,adulte,0,0,0
adulterate,"adultérons, adultérez, adultérent, adultérer",0,0,0
adulterated,"adultérai, adultérées, adultérèrent, adultérés",0,0,0
adulterates,"adultére, contrefait",0,0,0
adulterating,adultérant,0,0,0
adulteration,"sophistication, adultération",0,0,0
adulterator,falsificateur,0,0,0
adulterators,falsificateur,0,0,0
adultery,adultère,0,0,0
adumbrative,allusif,0,0,0
advance,"avancez, avançons, avance, s'approcher, avancent",0,0,0
advance payment,paiement anticipé,0,0,0
advanced,"avancèrent, avancés, avança, avançai, avançâmes",0,0,0
advanced language,language évolué,0,0,0
advancement,ascension,0,0,0
advances,avance,0,0,0
advancing,avançant,0,0,0
advantage,"bénéfice, avantage",0,0,0
advantageous,"favorable, utile",0,0,0
advantageously,avantageuxse,0,0,0
advent,"debur, avent",0,0,0
adventure,aventure,0,0,0
adventurer,aventurier,0,0,0
adverb,adverbe,0,0,0
adverbial,adverbial,0,0,0
adversaries,antagoniste,0,0,0
adversary,adversaire,0,0,0
advertent,démonstratif,0,0,0
advertently,démonstrative,0,0,0
advertise,"insérer, publier, annoncer, introduire",0,0,0
advertisement,"réclame, annonce",0,0,0
advertiser,annonceur,0,0,0
advertising,pub,0,0,0
advertising gift,prime,0,0,0
advice,conseil,0,0,0
advisable,expédient,0,0,0
advise,"avisent, avisez, conseiller, avisons, conseillent",0,0,0
advised,"avisés, avisées, avisai, avisa, avisée, avisèrent",0,0,0
advises,"avise, conseille",0,0,0
advising,"avisant, conseillant",0,0,0
advocate,"avocat, défenseur",0,0,0
Adzharia,Adjarie,0,0,0
aerogram,radiotélégramme,0,0,0
aeroplane,avion,0,0,0
aerospatiale,aerospatiale,0,0,0
Aesculapian,médical,0,0,0
aesthetic,esthétique,0,0,0
affable,"affable, gentil, aimable",0,0,0
affair,"affaire, chose",0,0,0
affect,"affectez, influer, concernent, affectons",0,0,0
affectation,"affectation, afféterie, minauderie",0,0,0
affected,"affecté, affectâmes, affecta, accidentée, affectai",0,0,0
affecting,affectant,0,0,0
affection,affection,0,0,0
affectionate,affectieux,0,0,0
affects,affecte,0,0,0
affidavit,attestation,0,0,0
affiliate,"affiliez, affiliation, affilions, filiale",0,0,0
affiliated,"affiliés, affiliées, affilièrent, affilié, affilia",0,0,0
affiliates,affilie,0,0,0
affiliating,affiliant,0,0,0
affinity,affinité,0,0,0
affirmatively,confirmatif,0,0,0
afflict,"affliger, désoler",0,0,0
affliction,"chagrin, crève−coeur",0,0,0
afflictively,désolante,0,0,0
affreight,affréter,0,0,0
Afghan,afghan,0,0,0
Afghan woman,Afghane,0,0,0
Afghanistan,Afghanistan,0,0,0
afore,précédemment,0,0,0
afraid,"timide, anxiété",0,0,0
Africa,Afrique,0,0,0
african,africaine,0,0,0
African,africain,0,0,0
Afrikaans,"sud−africain, d'Afrikanders",0,0,0
Afrikaans language,sud−africain,0,0,0
Afro−Asian,afro−asiatique,0,0,0
after,"après, derrière, après que",0,0,0
aftermaths,séquelles,0,0,0
afternoon,après−midi,0,0,0
afterwards,"puis, ensuite",0,0,0
again,de nouveau,0,0,0
against,"en retour, moyennant, contre",0,0,0
against it,en retour,0,0,0
Agamemnon,Agamemnon,0,0,0
agar,agar−agar,0,0,0
agar−agar,agar−agar,0,0,0
agave,"agave, agavé",0,0,0
age,"viellir, viellissez, époque, viellissent, viellis",0,0,0
age worn,décrépit,0,0,0
aged,"viellie, vielli, viellies, viellirent, viellîmes",0,0,0
agency,"permanence, agence",0,0,0
agenda,"agenda, ordre du jour",0,0,0
agent,agent,0,0,0
ages,viellit,0,0,0
agglomerate,"agglomérent, agglomérer, aggloméré, agglomérons",0,0,0
agglomerated,"aggloméra, agglomérâmes, agglomérées, agglomérai",0,0,0
agglomerates,agglomére,0,0,0
agglomerating,agglomérant,0,0,0
agglomeration,agglomération,0,0,0
agglutinate,"agglutinent, agglutinons, agglutiner, agglutinez",0,0,0
agglutinated,"agglutinée, agglutina, agglutinai, agglutinâmes",0,0,0
agglutinates,agglutine,0,0,0
agglutinating,agglutinant,0,0,0
aggrandize,propager,0,0,0
aggrandizement,propagation,0,0,0
aggravate,"aggravent, aggravons, envenimer, aggravez",0,0,0
aggravated,"aggravai, aggravâmes, aggravée, aggravées, aggrava",0,0,0
aggravates,aggrave,0,0,0
aggravating,aggravant,0,0,0
aggregate,agrégat,0,0,0
aggregation,agrégation,0,0,0
aggresive,agressif,0,0,0
aggression,agression,0,0,0
aggressive,belliqueux,0,0,0
aggressor,agresseur,0,0,0
agile,agile,0,0,0
agility,agilité,0,0,0
aging,viellissant,0,0,0
agio,agio,0,0,0
agitate,"émouvoir, débattre, agiter, agitez, agitent",0,0,0
agitated,"agitèrent, agitées, agitée, agitâmes, agita",0,0,0
agitates,agite,0,0,0
agitating,agitant,0,0,0
agitator,agitateur,0,0,0
agne,accompagnateur,0,0,0
ago,avant de,0,0,0
agonize,martyriser,0,0,0
agony,"angoisse, agonie",0,0,0
agoraphobia,agoraphobie,0,0,0
agrarian,agriculteur,0,0,0
agree,"accordez, consentir, s'harmoniser, accordent",0,0,0
agreeable,agréable,0,0,0
agreeably,agréablement,0,0,0
agreed,"accordées, accordée, accordèrent, accordés",0,0,0
agreeing,accordant,0,0,0
agreement,"atmosphère, accord, convention, concordance",0,0,0
agrees,accorde,0,0,0
agressiveness,agressivité,0,0,0
agricultural,"agricole, agronomique",0,0,0
agriculture,"agriculture, agronomie",0,0,0
agriculturist,agronome,0,0,0
aguish,enfiévré,0,0,0
ah,ah,0,0,0
ahead,"autrefois, auparavant",0,0,0
ai,ia,0,0,0
aid,"aider, aide, assister, secourir",0,0,0
aide−de−camp,adjutant,0,0,0
aids,sida,0,0,0
aileron,aileron,0,0,0
aim,"visez, dgssein, mire, visons, but, peiner, visent",0,0,0
aimed,"visée, visées, visâmes, visé, visèrent, visai",0,0,0
aiming,"visant, transitif",0,0,0
aims,vise,0,0,0
air,"souffle, air, éventer",0,0,0
air−balloon,"ballon, aérostat",0,0,0
air−condition,"climatiser, climatisent, climatisez, climatisons",0,0,0
air−conditioned,"climatisé, climatisées, climatisés, climatisa",0,0,0
air−conditioning,climatisant,0,0,0
air−conditions,climatise,0,0,0
air−fresher,déodorant,0,0,0
air−plane,avion,0,0,0
air−ship,dirigeable,0,0,0
air−valve,valve,0,0,0
air mail,aéroposte,0,0,0
air mattress,matelas pneumatique,0,0,0
air out,aérer,0,0,0
air pump,pompe à air,0,0,0
airfield,aérodrome,0,0,0
airplane,avion,0,0,0
airport,aéroport,0,0,0
aitchbone,cimier,0,0,0
Aix−la−Chapelle,Aix−la−Chapelle,0,0,0
Ajax,Ajax,0,0,0
ake,guivre,0,0,0
alabaster,albâtre,0,0,0
alarm,"alarmez, alarment, alarme, alarmer, alarmons",0,0,0
alarm clock,réveil−matin,0,0,0
